tA2,cA2,tS,cS
0,0,0,0
0.087477192,0,0.087477192,0.001587798
0.139880719,0,0.139880719,0.257717607
0.212147173,0,0.212147173,0.502170609
0.287966094,0,0.287966094,0.585903809
0.354499174,0,0.354499174,0.168875031
0.405809159,0,0.405809159,0.012739457
0.485396785,0,0.485396785,0.017274259
0.545275939,0,0.545275939,0.09171544
0.613477134,0,0.613477134,0.303566059
0.68587333,0,0.68587333,0.596931904
0.745480644,0,0.745480644,0.568889035
0.811686279,0,0.811686279,0.028413561
0.871367731,0,0.871367731,0.028320888
0.943034899,0,0.943034899,0.046843144
1.010723303,0,1.010723303,0.065371578
1.083138033,0,1.083138033,0.365724971
1.147261614,0,1.147261614,0.540314841
1.207060452,0,1.207060452,0.584476644
1.285177665,0,1.285177665,0.034665903
