t,ca2,Time,c3a
0,0.9,0,0
0.05,0,0.05,9.47655
0.08333,0,0.08333,5.00457
0.16667,0,0.16667,0.01645
0.25,0,0.25,0.10548
0.33333,0,0.33333,0.66944
0.41667,0,0.41667,1.17391
0.5,0,0.5,0.88836
0.58333,0,0.58333,0.03931
0.66667,0,0.66667,0.05382
0.75,0,0.75,0.057
0.83333,0,0.83333,0.05516
0.91667,0,0.91667,0.12333
1,0,1,0.65407
1.16667,0,1.16667,1.30575
1.33333,0,1.33333,0.00945
1.5,0,1.5,1.10992
1.66667,0,1.66667,1.00135
1.83333,0,1.83333,0.04241
2,0,2,0.10889
2.16667,0,2.16667,0.71279
2.33333,0,2.33333,1.43964
2.5,0,2.5,0.06677
2.66667,0,2.66667,0.07018
2.83333,0,2.83333,0.11994
3,0,3,1.18808
3.16667,0,3.16667,1.63195
3.33333,0,3.33333,0.03553
3.5,0,3.5,0.08375
3.58333,0,3.58333,0.68106
3.66667,0,3.66667,1.76178
3.75,0,3.75,1.56399
3.83333,0,3.83333,0.08314
3.91667,0,3.91667,0.10454
4,0,4,1.04023
