TA2,cA2,tS,cS,TA,cA
0,13.4730867,0,0.002071259,0,2.053826604
0.016666667,4.65855239,0.016666667,8.09520484,0.016666667,11.77561139
0.05,0.033974073,0.05,10.45067756,0.05,18.52835963
0.1,0.016807858,0.1,7.910892426,0.1,21.85287782
0.15,1.04288E-05,0.15,5.332737151,0.15,25.71356725
0.2,0.006062371,0.2,2.673520458,0.2,28.80169262
0.25,0.024384267,0.25,1.099860561,0.25,30.75093785
0.3,3.5798E-05,0.3,0.718233986,0.3,32.00445675
0.35,4.51247E-05,0.35,0.473734697,0.35,31.58280446
0.4,0.009455402,0.4,0.529674538,0.4,31.83635957
0.45,0.015351991,0.45,1.946918782,0.45,30.0094124
0.5,0.003879868,0.5,2.504835563,0.5,28.95666027
0.55,0.000153089,0.55,2.822554564,0.55,28.6952127
0.6,0.000247353,0.6,2.976744476,0.6,28.28603665
0.65,4.44958E-05,0.65,3.053193066,0.65,28.47851537
0.7,5.06106E-05,0.7,2.924517472,0.7,28.50848529
0.75,0.022722092,0.75,2.507515462,0.75,29.42706973
0.8,0.007476617,0.8,1.140442265,0.8,30.96620529
0.85,0.001871369,0.85,0.340890572,0.85,31.97997255
0.9,5.57449E-05,0.9,0.240022402,0.9,32.04683609
0.95,0.022290751,0.95,0.460055758,0.95,31.91479813
1,0.034650661,1,1.455155758,1,29.89426403
1.05,0.029985267,1.05,2.057311914,1.05,29.48869231
1.1,0.024549275,1.1,2.607271279,1.1,29.12132998
1.15,0.015934433,1.15,2.928928673,1.15,28.92330646
1.2,0.022086238,1.2,2.984930623,1.2,28.48234635
1.25,0.014507202,1.25,3.056240388,1.25,28.51283768
1.3,0.02446002,1.3,2.876821448,1.3,28.9570408
1.35,0.011012086,1.35,2.254024957,1.35,29.51120512
1.4,0.000184207,1.4,0.823148968,1.4,31.33988783
1.45,0.001109959,1.45,0.310560744,1.45,31.73938547
1.5,0.001252719,1.5,0.2722796,1.5,31.92241815
1.55,0.003223827,1.55,0.613650368,1.55,30.60780612
1.6,0.01631629,1.6,1.828392727,1.6,29.52129824
1.65,0.004062859,1.65,2.43592609,1.65,29.02075131
1.7,0.000252812,1.7,2.849480905,1.7,28.30288544
1.75,0.012328244,1.75,3.106972137,1.75,27.79906682
1.8,0.006605089,1.8,3.256608552,1.8,27.89740962
1.85,0.00489085,1.85,3.251910803,1.85,28.15958483
1.9,0.00053142,1.9,2.974952887,1.9,28.38107087
1.95,0.000263151,1.95,2.111262845,1.95,29.59818802
2,2.41371E-05,2,0.656363344,2,31.03712824
2.05,0.000199326,2.05,0.273968614,2.05,31.47459677
2.1,9.70349E-05,2.1,0.370549771,2.1,31.40437074
2.15,0.003427643,2.15,1.354969521,2.15,30.3433598
2.2,0.006469174,2.2,2.042071238,2.2,29.38828508
2.25,4.02353E-05,2.25,2.637529614,2.25,28.81256151
2.3,0.011003464,2.3,3.162181882,2.3,27.91298081
2.35,2.51813E-05,2.35,3.381960546,2.35,27.85736557
2.4,2.44667E-05,2.4,3.448831436,2.4,27.7209048
2.45,6.33534E-05,2.45,3.469362153,2.45,27.62938937
2.5,0.002095598,2.5,3.220383824,2.5,27.93421926
2.55,0.000176172,2.55,2.359520546,2.55,28.95754086
2.6,0,2.6,0.677021196,2.6,31.24789328
