,2
0.021505376,0
0.086021505,0.1
0.107526882,0.3
0.161290323,0.4
0.172043011,0.4
0.193548387,0.24
0.247311828,0.12
0.311827957,0.06
0.376344086,0.12
0.483870968,0.1
0.537634409,0.22
0.612903226,0.3
0.64516129,0.44
0.677419355,0.58
0.731182796,0.68
0.784946237,0.54
0.806451613,0.34
0.817204301,0.14
0.870967742,0.06
0.978494624,0.02
1.086021505,0
1.193548387,0.06
1.301075269,0.06
1.365591398,0.16
1.408602151,0.3
1.430107527,0.48
1.47311828,0.66
1.505376344,0.8
1.52688172,0.74
1.591397849,0.88
1.591397849,0.74
1.612903226,0.56
1.623655914,0.36
1.655913978,0.16
1.688172043,0
1.688172043,0.06
1.795698925,-0.02
1.795698925,0
1.903225806,0.04
1.903225806,0.06
2.010752688,0.12
2.010752688,0.06
2.11827957,0.08
2.11827957,0.06
2.182795699,0.18
2.204301075,0.34
2.258064516,0.48
2.322580645,0.88
2.387096774,0.82
2.430107527,0.68
2.462365591,0.48
2.47311828,0.28
2.483870968,0.08
2.548387097,-0.02
2.655913978,0.06
2.76344086,0.08
2.870967742,0.04
2.935483871,0.12
3.021505376,0.18
3.032258065,0.36
3.075268817,0.54
3.107526882,0.72
3.150537634,0.86
3.193548387,0.98
3.279569892,0.76
3.290322581,0.88
3.311827957,0.58
3.333333333,0.4
3.344086022,0.2
3.376344086,0.04
3.419354839,0.02
3.47311828,0.02
3.52688172,0.06
3.580645161,0.04
3.634408602,0.04
3.688172043,0.02
3.741935484,0.12
3.784946237,0.1
3.817204301,0.18
3.860215054,0.22
3.88172043,0.28
3.903225806,0.58
3.924731183,0.48
3.956989247,0.78
4.010752688,0.9
4.053763441,1.04
4.150537634,1.04
4.182795699,0.88
4.193548387,0.68
4.204301075,0.48
4.215053763,0.28
4.23655914,0.08
4.311827957,0.04
4.419354839,0.04
4.419354839,0.06
4.516129032,0.08
4.52688172,0.04
4.623655914,0.14
4.698924731,0.26
4.741935484,0.46
4.784946237,0.64
4.827956989,0.84
4.870967742,1.02
4.946236559,1.18
5.032258065,1.12
5.053763441,0.92
5.086021505,0.72
5.11827957,0.52
5.139784946,0.32
5.161290323,0.12
5.215053763,0.02
5.322580645,0.04
5.430107527,0.06
5.537634409,0.08
5.58741164,0.199870473
5.666666667,0.46
5.76344086,0.98
5.806451613,1.16
5.860215054,1.34
5.913978495,1.52
5.989247312,1.6
6.053763441,1.44
6.075268817,1.26
6.11827957,1.08
6.150537634,0.88
6.172043011,0.68
6.193548387,0.48
6.215053763,0.28
6.247311828,0.08
6.268817204,-0.02
6.333333333,0.08
6.440860215,0.1
6.666666667,0.54
6.752688172,0.78
6.774193548,0.98
6.806451613,1.18
6.849462366,1.38
6.88172043,1.58
6.892473118,1.68
6.946236559,1.78
6.946236559,1.88
7.021505376,2.04
7.096774194,2.12
7.204301075,2.1
7.267956527,1.893609978
7.333333333,1.48
7.344086022,1.28
7.365591398,1.08
7.397849462,0.88
7.419354839,0.68
7.440860215,0.48
7.47311828,0.28
7.52688172,0.1
7.634408602,0.12
7.709677419,0.26
7.752688172,0.42
7.774193548,0.4
7.8,0.5
