TA2,cA2,TS,cS,TA,cA
0,0.03815,0,0,0,6.23893
0.03333,0.06646,0.03333,1.86E-04,0.03333,6.23185
0.06667,0.12019,0.06667,0.06412,0.06667,6.08913
0.1,0.07858,0.1,0.23042,0.1,6.09074
0.13333,0.05347,0.13333,0.31674,0.13333,5.74169
0.16667,0.05297,0.16667,0.3517,0.16667,5.90559
0.2,0.04696,0.2,0.26039,0.2,6.12244
0.23333,0.00767,0.23333,0.1265,0.23333,6.30806
0.26667,1.22E-04,0.26667,0.06022,0.26667,6.38424
0.3,2.89E-05,0.3,0.04587,0.3,6.42137
0.33333,0.00487,0.33333,0.02846,0.33333,6.42028
0.36667,0.00255,0.36667,0.0595,0.36667,6.38204
0.4,0.01601,0.4,0.10022,0.4,6.29665
0.43333,0.03158,0.43333,0.12228,0.43333,6.37983
0.46667,0.04863,0.46667,0.13153,0.46667,6.1001
0.5,0.07505,0.5,0.15219,0.5,6.16725
0.53333,0.10354,0.53333,0.18902,0.53333,6.07937
0.56667,0.13461,0.56667,0.25015,0.56667,5.87572
0.6,0.15052,0.6,0.33035,0.6,5.78931
0.63333,0.14637,0.63333,0.4356,0.63333,5.63137
0.66667,0.11493,0.66667,0.54914,0.66667,5.56978
0.7,0.08512,0.7,0.63652,0.7,5.52225
0.73333,0.07917,0.73333,0.67852,0.73333,5.57871
0.76667,0.07273,0.76667,0.62368,0.76667,5.57254
0.8,0.05719,0.8,0.48524,0.8,5.86808
0.83333,7.35E-05,0.83333,0.01217,0.83333,6.54461
0.86667,1.45E-05,0.86667,0.00646,0.86667,6.53608
0.9,1.44E-05,0.9,0.01112,0.9,6.528
0.93333,1.81E-04,0.93333,8.64E-04,0.93333,6.50976
0.96667,5.69E-05,0.96667,0.0021,0.96667,6.56189
1,5.87E-05,1,4.32E-04,1,6.52086
1.03333,0,1.03333,0.00586,1.03333,6.4995
1.06667,1.93E-04,1.06667,2.26E-05,1.06667,6.55151
1.1,2.36E-04,1.1,0.02895,1.1,6.45354
1.13333,1.72E-04,1.13333,0.02733,1.13333,6.50722
1.16667,3.23E-05,1.16667,0.04547,1.16667,6.38956
1.23333,0.00198,1.23333,0.05361,1.23333,6.48506
1.26667,2.68E-04,1.26667,0.06453,1.26667,6.43728
1.3,0.02122,1.3,0.09212,1.3,6.46429
1.33333,0.06753,1.33333,0.12136,1.33333,6.24097
1.36667,0.15495,1.36667,0.19561,1.36667,5.90906
1.4,0.2023,1.4,0.29815,1.4,5.71076
1.43333,0.22609,1.43333,0.4339,1.43333,5.53369
1.46667,0.20184,1.46667,0.60831,1.46667,5.22944
1.5,0.1363,1.5,0.7539,1.5,5.33999
1.53333,0.12649,1.53333,0.81748,1.53333,5.15749
1.56667,0.07942,1.56667,0.84025,1.56667,5.25559
1.6,0.05575,1.6,0.73516,1.6,5.46648
1.63333,0.01645,1.63333,0.37326,1.63333,6.1913
1.66667,5.58E-04,1.66667,8.64E-04,1.66667,6.51822
1.7,1.56E-05,1.7,0.01248,1.7,6.48791
1.73333,4.14E-04,1.73333,0.00548,1.73333,6.49316
1.76667,1.25E-04,1.76667,0.0365,1.76667,6.56907
1.8,0,1.8,0.01004,1.8,6.50513
1.83333,4.56E-04,1.83333,0.0194,1.83333,6.50664
1.86667,0.00278,1.86667,0.02173,1.86667,6.49893
1.9,1.13E-04,1.9,0.02709,1.9,6.48092
1.93333,3.60E-04,1.93333,0.0496,1.93333,6.33964
1.96667,0.0017,1.96667,0.06507,1.96667,6.39417
2,0,2,0.06816,2,6.33452
