tS,cS28,cS29
0,0.023720685,0.01232504
0.033333333,0.216422504,0.092522554
0.066666667,0.575292349,0.148405946
0.1,0.757174025,0.16151258
0.133333333,0.911634643,0.166948531
0.166666667,1.01519295,0.180546864
0.2,0.931649618,0.16507748
0.233333333,0.697128235,0.111447773
0.266666667,0.05797493,0.032618428
0.3,0.047214554,0.02876083
0.333333333,0.024183144,0.017096969
0.366666667,0.000359192,0.001077576
0.4,0.230988436,0.054071103
0.433333333,0.643237906,0.129743977
0.466666667,0.903050119,0.170522525
0.5,1.054311867,0.153837134
0.533333333,1.051061826,0.174398922
0.566666667,1.199645791,0.200940113
0.6,1.225798022,0.211901213
0.633333333,1.00103341,0.164996856
0.666666667,0.430836842,0.088148326
0.7,0.02814305,0.019832273
0.733333333,0.03987599,0.032279561
0.766666667,0.054786873,0.037117295
0.8,0.201026026,0.045940912
0.833333333,0.494640808,0.106658597
0.866666667,0.864451034,0.16870353
0.9,1.052353584,0.194291939
0.933333333,1.191940856,0.239285928
0.966666667,1.221847092,0.22442621
1,1.292354376,0.228199851
1.033333333,1.293360503,0.234356747
1.066666667,1.285032139,0.241261239
1.1,1.0458557,0.189387411
1.133333333,0.256635333,0.056211632
1.166666667,0.0287382,0.0289733
1.2,0.043372391,0.02799501
1.233333333,0.065783486,0.041165126
1.266666667,0.085803819,0.041493566
1.3,0.226129915,0.06686237
1.333333333,0.646876567,0.145646166
1.366666667,0.964427578,0.196843024
1.4,1.210051773,0.244312369
1.433333333,1.348160197,0.268228135
1.466666667,1.371616778,0.276153307
1.5,1.424330777,0.279989329
1.533333333,1.444376321,0.279071843
