tA2,cA2,tS,cS
0,0,0,0
0.065625,0,0.065625,0.16563147
0.1359375,0,0.1359375,0.3436853
0.1921875,0,0.1921875,0.546583851
0.2625,0,0.2625,0.645962733
0.3328125,0,0.3328125,0.683229814
0.403125,0,0.403125,0.476190476
0.4640625,0,0.4640625,0.033126294
0.534375,0,0.534375,0.02484472
0.5953125,0,0.5953125,0.049689441
0.665625,0,0.665625,0.041407867
0.7359375,0,0.7359375,0.037267081
0.8015625,0,0.8015625,0.041407867
0.8625,0,0.8625,0.157349896
0.928125,0,0.928125,0.322981366
0.9890625,0,0.9890625,0.52173913
1.06875,0,1.06875,0.666666667
1.1296875,0,1.1296875,0.654244306
1.2046875,0,1.2046875,0.575569358
1.2609375,0,1.2609375,0.033126294
1.33125,0,1.33125,0.041407867
1.4015625,0,1.4015625,0.037267081
1.4671875,0,1.4671875,0.062111801
1.528125,0,1.528125,0.037267081
1.59375,0,1.59375,0.02484472
1.66875,0,1.66875,0.049689441
1.7296875,0,1.7296875,0.115942029
1.7953125,0,1.7953125,0.269151139
1.865625,0,1.865625,0.467908903
1.9265625,0,1.9265625,0.604554865
1.996875,0,1.996875,0.6873706
2.0671875,0,2.0671875,0.625258799
2.1328125,0,2.1328125,0.066252588
2.1984375,0,2.1984375,0.028985507
2.26875,0,2.26875,0.028985507
