tA2,cA2,tS,cS,tA,cA
0,0.073412278,0,0.000919828,0,32.45401322
0.033333333,0.130346096,0.033333333,0.263948539,0.033333333,29.95004493
0.066666667,0.014064634,0.066666667,0.687909393,0.066666667,29.88414904
0.1,0.01335735,0.1,0.849462652,0.1,29.319989
0.133333333,0.008721863,0.133333333,0.956520017,0.133333333,29.45478661
0.166666667,0.023634256,0.166666667,0.965118166,0.166666667,29.55262834
0.2,0.013971927,0.2,0.914949306,0.2,29.44693879
0.233333333,0.011735479,0.233333333,0.730467193,0.233333333,29.48101377
0.3,0.0099436,0.3,0.050121784,0.3,30.24520763
0.333333333,0.006796218,0.333333333,0.056499598,0.333333333,30.44523772
0.366666667,0.008875588,0.366666667,0.071893417,0.366666667,30.33898303
0.4,0.014987784,0.4,0.121103979,0.4,29.68191621
0.433333333,0.016844977,0.433333333,0.321386259,0.433333333,29.81091331
0.466666667,0.014824516,0.466666667,0.573747163,0.466666667,29.29418015
0.5,0.011940599,0.5,0.864919247,0.5,29.75665565
0.533333333,0.013426306,0.533333333,1.017908425,0.533333333,29.13027697
0.566666667,0.013222411,0.566666667,1.068164623,0.566666667,28.85766587
0.6,0.015681608,0.6,1.124709313,0.6,29.25193425
0.633333333,0.01353618,0.633333333,1.077593798,0.633333333,29.02921111
0.666666667,0.017518878,0.666666667,1.019693255,0.666666667,30.75581741
0.7,0.015361399,0.7,0.837713821,0.7,29.81926254
0.733333333,0.006699971,0.733333333,0.119344177,0.733333333,30.53855409
0.766666667,0.012001434,0.766666667,0.043279639,0.766666667,29.68490739
0.8,0.008682014,0.8,0.052179435,0.8,30.49377338
0.833333333,0.009633013,0.833333333,0.078605676,0.833333333,30.78031377
0.9,0.016036748,0.9,0.409086002,0.9,29.96785807
0.933333333,0.011413578,0.933333333,0.721722802,0.933333333,30.3398828
0.966666667,0.011034664,0.966666667,0.945207944,0.966666667,29.82606037
1,0.01527462,1,1.10751136,1,29.21083297
1.033333333,0.011915857,1.033333333,1.181133583,1.033333333,29.24644241
1.066666667,0.018066792,1.066666667,1.250326471,1.066666667,29.36043879
1.1,0.012458474,1.1,1.29141504,1.1,28.9470534
1.133333333,0.016982069,1.133333333,1.241065604,1.133333333,28.88957407
1.166666667,0.010614444,1.166666667,1.22978101,1.166666667,29.86950722
1.2,0.009264367,1.2,1.010941161,1.2,29.33448217
1.233333333,0.009417712,1.233333333,0.337833406,1.233333333,29.94596646
1.266666667,0.008012123,1.266666667,0.048192421,1.266666667,30.75249811
1.3,0.008281614,1.3,0.060192943,1.3,30.26061623
1.333333333,0.01020996,1.333333333,0.080818526,1.333333333,30.76206136
1.366666667,0.010020825,1.366666667,0.094733686,1.366666667,30.43427479
1.4,0.011199514,1.4,0.110920501,1.4,30.42992564
1.433333333,0.018929441,1.433333333,0.294934223,1.433333333,30.64917979
1.466666667,0.018580895,1.466666667,0.635757829,1.466666667,30.48623679
1.5,0.01715618,1.5,0.982849652,1.5,29.16403105
1.533333333,0.015562552,1.533333333,1.017215994,1.533333333,29.11480036
1.566666667,0.016558578,1.566666667,1.211658743,1.566666667,28.74522899
