TA2,cA2,TS,cS,TA,cA
0,14.5,0,0,0,0
0.166666667,0.000330526,0.166666667,0.000760701,0.166666667,0.345846772
0.266666667,0.001735967,0.266666667,0.05215521,0.266666667,37.48809312
0.35,0.001684643,0.35,0.08187953,0.35,37.4136284
0.416666667,0.00177461,0.416666667,0.436920636,0.416666667,36.70890295
0.5,0.00673361,0.5,1.206212342,0.5,36.57801815
0.566666667,0.001163861,0.566666667,1.685589953,0.566666667,36.09551358
0.633333333,0.002944274,0.633333333,1.930902532,0.633333333,36.45795071
0.7,0.000597952,0.7,1.533118924,0.7,36.93297781
0.766666667,0.001596634,0.766666667,0.027468574,0.766666667,38.42071902
0.85,0.005573995,0.85,0.030427275,0.85,38.71066237
0.933333333,0.007908469,0.933333333,0.013975766,0.933333333,38.47140296
1.016666667,0.004401632,1.016666667,0.148556823,1.016666667,37.86424963
1.15,0.000452212,1.15,1.310298339,1.15,34.90339701
1.233333333,0.004128714,1.233333333,1.865870798,1.233333333,35.54857657
1.316666667,0.001409767,1.316666667,1.858285207,1.316666667,35.15732738
1.366666667,0.000779282,1.366666667,1.11801165,1.366666667,36.19461686
1.466666667,0.001269801,1.466666667,0.009592892,1.466666667,38.33048712
1.533333333,0.003934781,1.533333333,0.027162284,1.533333333,38.64720081
1.633333333,0.001071101,1.633333333,0.057649191,1.633333333,37.47854635
1.7,0.000496244,1.7,0.13572172,1.7,37.34804524
1.766666667,0.001170391,1.766666667,0.804600089,1.766666667,36.32081607
1.85,0.0025998,1.85,1.563031069,1.85,35.09780692
1.916666667,0.002278145,1.916666667,2.158768416,1.916666667,35.51211594
2,0.001189509,2,2.276609444,2,35.29610064
2.066666667,0.002026696,2.066666667,1.910799594,2.066666667,35.39867368
2.166666667,0.0020113,2.166666667,0.054930214,2.166666667,37.98301299
2.25,0.000517864,2.25,0.042116745,2.25,38.15446778
2.333333333,0.002185588,2.333333333,0.102239047,2.333333333,37.82155711
2.416666667,0.003527992,2.416666667,0.116726751,2.416666667,37.90644461
2.533333333,0.004982293,2.533333333,0.793939327,2.533333333,36.53451036
2.6,0.002880158,2.6,1.809537871,2.6,36.15406189
2.683333333,0.001143373,2.683333333,2.286567913,2.683333333,34.64103465
2.766666667,0.001933565,2.766666667,2.669653298,2.766666667,33.67736112
2.866666667,0.002153012,2.866666667,2.59742724,2.866666667,33.50109908
2.95,0.003623735,2.95,2.127732282,2.95,34.87678841
3.033333333,0.001889963,3.033333333,0.053580628,3.033333333,36.84505009
3.116666667,0.000404279,3.116666667,0.081456782,3.116666667,37.74001103
