TimeA2,cA2,TimeS,cS,TimeA,cA
0,0.372293519,0,0,0,31.38739075
0.166666667,0.200952614,0.166666667,0.02504736,0.166666667,30.21963301
0.333333333,0.330447677,0.333333333,0.07987703,0.333333333,32.89540983
0.5,0.634143959,0.5,0.23826959,0.5,28.16922863
0.666666667,0.936540538,0.666666667,0.610229154,0.666666667,26.66513024
0.833333333,1.151517839,0.833333333,0.999895068,0.833333333,26.82318427
1,1.010768426,1,1.418145696,1,25.57157208
1.166666667,0.981027072,1.166666667,1.598275899,1.166666667,26.54421212
1.333333333,1.001707848,1.333333333,1.801653548,1.333333333,25.59683337
1.5,0.006216437,1.5,0.159590364,1.5,32.88908342
1.666666667,0.001270832,1.666666667,0.074416443,1.666666667,30.8742771
1.833333333,0.074096801,1.833333333,0.207421856,1.833333333,30.3026438
2,0.940499381,2,0.398389679,2,28.38992641
2.166666667,1.486789939,2.166666667,0.813376637,2.166666667,25.80409809
2.333333333,1.486563654,2.333333333,1.017624166,2.333333333,27.35973122
2.5,1.323088663,2.5,1.174691287,2.5,26.45937425
2.666666667,1.162551913,2.666666667,1.353239884,2.666666667,24.69426401
2.833333333,1.060547448,2.833333333,1.444688475,2.833333333,25.19514577
3,0.011570423,3,0.016316072,3,31.21610377
3.166666667,0.008093774,3.166666667,0.080722258,3.166666667,30.93323497
3.333333333,0.409738909,3.333333333,0.178810318,3.333333333,29.0395075
3.5,1.271326534,3.5,0.334413145,3.5,27.36529564
3.666666667,1.42572685,3.666666667,0.62689515,3.666666667,25.6459017
3.833333333,1.386134666,3.833333333,1.140197027,3.833333333,24.89937509
4,1.420321185,4,1.545376383,4,25.22054935
4.166666667,1.433810479,4.166666667,1.71316397,4.166666667,25.1605666
4.333333333,0.517547277,4.333333333,1.777205991,4.333333333,26.81873419
4.5,0.512756141,4.5,1.648055287,4.5,27.13380075
4.666666667,0.008698512,4.666666667,0.464729082,4.666666667,31.09115112
4.833333333,0.841588964,4.833333333,0.253668125,4.833333333,28.66913398
5,1.555588452,5,0.539481854,5,26.56362544
5.166666667,1.340116343,5.166666667,1.75019898,5.166666667,24.6512499
5.333333333,1.332186517,5.333333333,2.638448314,5.333333333,24.13320791
5.5,1.38078149,5.5,2.947570856,5.5,23.87591117
5.666666667,1.367226841,5.666666667,3.058605945,5.666666667,20.1511235
5.833333333,0.581389418,5.833333333,2.709765852,5.833333333,25.22152411
6,0.005733369,6,0.159712979,6,29.97813646
6.166666667,0.03865282,6.166666667,0.174190359,6.166666667,30.34851469
6.333333333,0.658732727,6.333333333,0.374388519,6.333333333,28.65032761
